GENE,miRNA
BCL2,gga-miR-16-5p
BCL2,hsa-miR-34b-5p
BCL2,hsa-miR-21-5p
BCL2,hsa-miR-204-5p
BCL2,hsa-miR-153-3p
BCL2,hsa-miR-449a
BCL2,hsa-miR-15a-5p
BCL2,hsa-miR-15b-5p
BCL2,hsa-miR-16-5p
BCL2,hsa-miR-34a-5p
BCL2,hsa-miR-200b-3p
BCL2,hsa-miR-200c-3p
BCL2,hsa-miR-429
BCL2,hsa-miR-148a-3p
BCL2,hsa-miR-20a-5p
BCL2,hsa-miR-17-5p
BCL2,hsa-miR-126-3p
BCL2,hsa-miR-18a-5p
BCL2,hsa-miR-1915-3p
BCL2,hsa-miR-34a-3p
BCL2,hsa-miR-497-5p
BCL2,hsa-miR-448
BCL2,hsa-miR-125a-5p
BCL2,hsa-miR-708-5p
BCL2,hsa-miR-30b-5p
BCL2,hsa-miR-135a-5p
BCL2,hsa-miR-224-5p
BCL2,hsa-miR-503-5p
BCL2,hsa-miR-184
BCL2,hsa-miR-494-3p
BCL2,hsa-miR-211-5p
BCL2,hsa-miR-26a-1-3p
BCL2,hsa-miR-1284
BCL2,hsa-miR-9-5p
BCL2,hsa-miR-139-5p
BCL2,hsa-miR-376c-3p
BCL2,hsa-miR-190b
BCL2,hsa-miR-205-5p
BCL2,hsa-miR-181d-5p
BCL2,hsa-miR-29c-3p
BCL2,hsa-miR-29b-3p
BCL2,hsa-miR-29a-3p
BCL2,hsa-miR-181c-5p
BCL2,hsa-miR-181b-5p
BCL2,hsa-miR-181a-5p
BCL2,hsa-miR-24-2-5p
BCL2,hsa-miR-182-5p
BCL2,hsa-miR-136-5p
BCL2,hsa-miR-7-5p
BCL2,hsa-miR-34c-5p
BCL2,hsa-miR-33b-5p
BCL2,hsa-miR-98-5p
BCL2,hsa-miR-34b-3p
BCL2,hsa-miR-15a-3p
BCL2,hsa-miR-16-1-3p
BCL2,mmu-miR-16-5p
BCL2,mmu-miR-15a-5p
BCL2,mmu-miR-181a-5p
BCL2,mmu-miR-497a-5p
BCL2,mmu-miR-503-5p
BCL2,mmu-miR-34a-5p
BCL2,mmu-miR-449a-5p
BCL2,mmu-miR-195a-5p
BCL2,mmu-miR-204-5p
BCL2,rno-miR-34a-5p
BCL2,rno-miR-1-3p
BCL2,rno-miR-15b-5p
BCL2,rno-miR-16-5p
BCL2,mmu-miR-429-3p
BCL2,hsa-miR-143-3p
BCL2,hsa-miR-192-5p
BCL2,hsa-miR-195-5p
BCL2,hsa-miR-630
BCL2,hsa-miR-451a
BCL2,hsa-miR-365a-3p
BCL2,hsa-miR-125b-5p
MCL1,hsa-miR-193b-3p
MCL1,hsa-miR-518a-5p
MCL1,hsa-miR-582-5p
MCL1,hsa-miR-661
MCL1,hsa-miR-876-3p
MCL1,hsa-miR-892b
MCL1,hsa-miR-148b-5p
MCL1,hsa-miR-133b
MCL1,hsa-miR-29a-3p
MCL1,hsa-miR-29b-3p
MCL1,hsa-miR-29c-3p
MCL1,hsa-miR-193a-3p
MCL1,hsa-miR-101-3p
MCL1,hsa-miR-153-3p
MCL1,hsa-miR-512-5p
MCL1,hsa-miR-320a
MCL1,hsa-miR-886-3p
MCL1,hsa-miR-125b-5p
MCL1,hsa-miR-181a-5p
MCL1,hsa-miR-181b-5p
MCL1,hsa-miR-133a-3p
MCL1,hsa-miR-26a-5p
MCL1,hsa-miR-139-5p
MCL1,hsa-miR-20a-5p
MCL1,hsa-miR-125a-5p
MCL1,hsa-miR-302b-3p
MCL1,hsa-miR-30c-5p
MCL1,hsa-miR-339-3p
MCL1,mmu-miR-29a-5p
MCL1,mmu-miR-17-5p
MCL1,rno-miR-29a-3p
MCL1,rno-miR-29c-3p
MCL1,rno-miR-106b-5p
Becn1,rno-miR-30a-5p
Becn1,mmu-miR-142a-5p
Becn1,hsa-miR-30a-5p
Becn1,hsa-miR-376b-3p
Becn1,hsa-miR-30b-5p
Becn1,hsa-miR-30d-5p
Becn1,hsa-miR-216a-5p
Becn1,hsa-miR-199a-5p
Becn1,hsa-miR-30c-5p
Becn1,hsa-miR-216b-5p
Becn1,hsa-miR-34a-5p
Becn1,hsa-miR-221-3p
Becn1,hsa-miR-142-5p
Becn1,hsa-miR-30b-3p
Becn1,hsa-miR-30a-3p
Becn1,hsa-miR-9-5p
Becn1,hsa-miR-129-5p
Becn1,hsa-miR-124-5p
NFKB1,hsa-miR-146a-5p
NFKB1,hsa-miR-9-5p
NFKB1,hsa-miR-146b-5p
NFKB1,hsa-miR-155-5p
NFKB1,hsa-miR-508-3p
NFKB1,hsa-miR-199a-5p
NFKB1,hsa-miR-139-5p
NFKB1,hsa-miR-138-5p
NFKB1,hsa-miR-9-3p
NFKB1,hsa-miR-339-3p
NFKB1,mmu-miR-124-3p
NFKB1,mmu-miR-146b-5p
NFKB1,rno-miR-146a-5p
NFKB1,rno-miR-9a-5p
BCL2L1,hsa-miR-491-5p
BCL2L1,hsa-let-7g-5p
BCL2L1,hsa-let-7c-5p
BCL2L1,hsa-miR-122-5p
BCL2L1,hsa-miR-133a-3p
BCL2L1,hsa-miR-324-3p
BCL2L1,hsa-miR-608
BCL2L1,hsa-miR-133b
BCL2L1,hsa-miR-326
BCL2L1,mmu-miR-15a-5p
BCL2L1,rno-miR-98-5p
ATG5,mmu-miR-299a-5p
ATG5,hsa-miR-181a-5p
ATG5,hsa-miR-30d-5p
ATG5,hsa-miR-9-5p
ATG5,hsa-miR-299-5p
ATG5,hsa-miR-224-3p
ATG5,hsa-miR-34a-5p
ATG5,hsa-miR-30e-5p
BNIP3,hsa-miR-145-5p
BNIP3,hsa-miR-221-3p
BNIP3,hsa-miR-210-3p
BNIP3,hsa-miR-103a-3p
BNIP3,mmu-miR-221-3p
BNIP3,rno-miR-145-5p
MFN2,hsa-miR-195-3p
MFN2,hsa-miR-106b-5p
MFN2,hsa-miR-106a-5p
MFN2,hsa-miR-761
MFN2,hsa-miR-17-5p
Sqstm1,mmu-miR-17-5p
Sqstm1,mmu-miR-20a-5p
Sqstm1,mmu-miR-93-5p
Sqstm1,mmu-miR-106a-5p
TAZ,hsa-miR-125a-5p
TAZ,hsa-miR-141-3p
TAZ,hsa-miR-338-3p
TAZ,hsa-miR-9-3p
BNIP3L,hsa-miR-221-3p
BNIP3L,hsa-miR-137
BNIP3L,hsa-miR-30d-5p
BNIP3L,rno-miR-30e-5p
VDAC1,hsa-miR-320a
VDAC1,hsa-miR-29a-3p
VDAC1,hsa-miR-7-5p
PINK1,hsa-miR-27a-3p
PINK1,hsa-miR-27b-3p
PINK1,mmu-miR-421-5p
TBK1,hsa-miR-221-3p
TBK1,hsa-miR-200c-3p
TBK1,hsa-miR-203a-3p
ATF4,hsa-miR-214-3p
ATF4,hsa-miR-1283
DAPK1,hsa-miR-103a-3p
DAPK1,hsa-miR-107
HADHB,hsa-miR-33a-5p
HADHB,mmu-miR-124-3p
Dnm1,rno-miR-140-3p
MAP1LC3B,hsa-miR-204-5p
BID,hsa-miR-20a-3p
TFEB,hsa-miR-29a-3p
NR4A1,hsa-miR-124-5p
MAP1A,hsa-miR-338-3p
